"countopioid","abandon_cars","graffiti","pothole","street_cleaning","trash","abandon_cars.nn","pothole.nn","trash.nn","graffiti.nn","street_cleaning.nn","pctUnemploy","MedHHInc","pctPoverty","TotalPop","TotalUnit","NEIGH","Longitude","Latitude"
8,2,1,11,1,33,329.267148692025,225.494395731126,70.1275438377872,412.72914714431,368.866736304489,3.0840400925212,38165,12.72166538165,2594,1216,"Westwood",-84.6026718797471,39.1324657272882
10,0,0,12,2,17,530.272869512297,160.61812237757,135.405629424545,649.915890467463,200.083230421781,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.6030691889484,39.1402514913478
12,2,6,18,5,19,356.989726446031,111.361763581987,79.8921106397585,188.001972081934,173.920824076179,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.6034666520062,39.1480372417302
12,3,0,17,1,15,177.023987223051,35.6473104043483,94.88743699372,1079.90445607636,316.355304959728,1.70202269363592,40194,14.9728663048841,4054,1818,"West Price Hill",-84.5983978117332,39.1053046322256
11,0,0,14,4,18,320.894438259245,117.450667351883,133.365860867368,710.469249474597,234.793286507065,2.91012104043266,52530,12.8251352047386,3883,1929,"West Price Hill",-84.5987942665459,39.1130904692059
26,3,5,28,1,25,226.09981374152,104.794667936521,138.227338553406,210.890116191965,315.791479450288,3.67290367290367,49886,13.1670131670132,1443,592,"West Price Hill",-84.599190875061,39.1208762924744
34,0,0,19,0,8,388.131757832344,110.940641732305,197.225126001625,599.118916529393,470.188118145477,1.96822385582167,29559,19.2316812900166,4217,2749,"Westwood",-84.5995876371169,39.1286621019198
6,1,7,27,1,20,518.784137001743,120.978182862919,117.985003078035,244.584926417218,374.545947087984,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.5999845528207,39.1364478976365
0,0,0,9,4,7,496.877480620276,213.626276661369,180.024671554053,486.61514273502,167.525524587809,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.600381622131,39.1442336794071
18,3,4,1,5,21,242.440562715218,328.884818564587,112.367663015295,267.136855414862,138.471760774336,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.600778845427,39.1520194474253
22,0,0,1,1,8,344.76935241943,678.702420489613,121.413835869104,967.554483839001,362.617826771781,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.6011762226095,39.1598052015025
9,0,0,6,2,2,593.429199764977,259.81473880089,255.979620842491,2777.60061190693,247.351644815012,4.72602739726027,45568,30.4109589041096,1460,869,"Riverside",-84.5941278236267,39.0781431245475
9,1,2,9,1,10,275.531976277736,200.150454195971,109.130508504131,1172.80202132368,317.684196408093,1.70202269363592,40194,14.9728663048841,4054,1818,"West Price Hill",-84.595315090002,39.1015008128935
59,4,0,11,5,68,199.769416925592,171.46311344082,35.7667383256118,875.645949454925,137.980720435562,1.70202269363592,40194,14.9728663048841,4054,1818,"West Price Hill",-84.595711152161,39.1092866816836
26,8,2,66,2,35,154.832358044334,63.274524834091,78.2678538858657,397.617906217954,212.68371803309,2.91012104043266,52530,12.8251352047386,3883,1929,"West Price Hill",-84.5961073675608,39.1170725362291
12,5,0,3,0,25,228.245987992798,332.20611675153,87.4303936587938,549.195670941408,533.101178560834,3.67290367290367,49886,13.1670131670132,1443,592,"West Price Hill",-84.5965037364253,39.1248583772238
8,1,0,5,0,14,322.67800598009,213.012187959567,114.891169541086,341.865842516176,354.086402605076,1.96822385582167,29559,19.2316812900166,4217,2749,"Westwood",-84.5969002588764,39.1326442042473
2,0,0,5,3,12,567.214875902156,229.455594365714,155.085769280526,645.393162071699,199.844370408363,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.597296934852,39.140430017625
21,7,2,28,6,16,158.336600103827,72.1216610458792,94.1295173310294,368.13272304973,58.8067368092121,2.73609885260371,56205,17.2109443954104,2266,1224,"Westwood",-84.5976937645598,39.1482158171326
10,0,0,4,2,27,352.970502672663,350.078207599517,107.113837205602,647.208981317288,214.980906345218,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5980907480563,39.1560016028646
7,7,0,8,4,24,129.924000912022,179.609674105093,69.1298240270425,2355.44358852977,139.433990601742,4.72602739726027,45568,30.4109589041096,1460,869,"Riverside",-84.5914418307811,39.0821250530924
9,43,1,24,2,35,74.2406751131306,154.082047614599,73.1830135744731,910.653675532917,248.356685321348,1.70202269363592,40194,14.9728663048841,4054,1818,"West Price Hill",-84.5926283792805,39.1054827945215
43,16,0,23,2,41,160.586237049121,148.016391681989,80.6815028181164,695.295277173394,195.39299220946,2.91012104043266,52530,12.8251352047386,3883,1929,"West Price Hill",-84.5930242020417,39.1132686806374
8,0,0,1,1,25,340.985811652253,304.014824428656,100.592418454066,573.526590243492,334.470758069931,3.67290367290367,49886,13.1670131670132,1443,592,"West Price Hill",-84.59342017794,39.1210545531801
15,0,0,1,0,0,421.24209721473,341.845771952561,340.958107075657,772.910332602699,323.715903692005,1.96822385582167,29559,19.2316812900166,4217,2749,"Westwood",-84.5938163071479,39.1288404117198
