"countopioid","abandon_cars","dead_animals","graffiti","pothole","street_cleaning","trash","NEIGH","Longitude","Latitude"
1,0,0,0,0,0,0,"Mount Airy - Westwood",-84.5753907537123,39.1644992163756
0,0,0,0,0,0,0,"Mount Airy",-84.5757855080064,39.1722851707233
6,5,4,1,40,1,14,"Mount Airy",-84.5765754753134,39.1878570380958
1,2,5,0,9,0,19,"Mount Airy",-84.5769706884927,39.1956429512021
20,2,1,0,14,6,54,"Mount Airy",-84.5773660548396,39.2034288503451
23,6,6,3,13,8,20,"Sedamsville",-84.5687640110036,39.0906203901941
10,1,4,0,4,9,22,"East Price Hill",-84.5691569997073,39.0984064997299
74,3,15,7,32,37,60,"East Price Hill",-84.5695501406623,39.1061925955682
45,4,11,1,6,18,47,"East Price Hill",-84.5699434336625,39.1139786775804
16,4,3,0,2,3,5,"West Price Hill",-84.5703368791784,39.1217647458855
18,0,1,0,6,1,13,"South Fairmount - Westwood",-84.570730477091,39.1295508003567
5,15,2,0,15,5,18,"Westwood",-84.5711242272909,39.1373368412066
9,3,6,2,22,8,23,"Westwood",-84.5715181301579,39.145122868191
3,0,0,0,1,0,0,"Westwood",-84.5719121856145,39.1529088814253
1,0,0,0,2,1,14,"Northside - Westwood",-84.5723063935236,39.1606948808442
0,0,0,0,0,0,0,"Mount Airy",-84.5727007543622,39.1684808664847
0,0,0,0,0,0,0,"Mount Airy",-84.5730952678623,39.1762668384579
34,6,2,0,12,2,7,"Mount Airy",-84.5738847534439,39.1918387409469
1,2,3,0,1,1,14,"Mount Airy",-84.574279725795,39.1996246715571
6,1,2,1,2,0,2,"Sedamsville",-84.5656835267379,39.0868156740453
8,1,3,0,9,5,19,"East Price Hill",-84.5660761234144,39.0946018148763
58,1,14,1,11,13,32,"East Price Hill",-84.5664688721612,39.1023879418612
127,17,6,4,12,24,74,"East Price Hill",-84.5668617728761,39.1101740552896
2,4,0,0,0,0,8,"East Price Hill",-84.5672548259373,39.1179601547285
4,0,0,0,4,1,0,"South Fairmount",-84.5676480311748,39.1257462405026
49,13,8,0,7,6,33,"South Fairmount",-84.5680413887816,39.1335323125387
2,8,0,0,0,4,4,"North Fairmount",-84.5684348987639,39.1413183707882
6,0,2,0,0,4,5,"East Westwood",-84.5688285612148,39.1491044152552
19,0,4,0,23,3,1,"Westwood",-84.5692223759495,39.1568904462257
0,0,0,0,0,0,0,"Mount Airy",-84.5696163433377,39.1646764630802
0,0,0,0,0,0,0,"Mount Airy",-84.570010463283,39.1724624664614
0,0,0,0,0,0,0,"Mount Airy",-84.5704047360253,39.1802484557801
10,1,7,0,12,1,10,"Mount Airy",-84.5707991614335,39.1880344315813
